09-03-2020,Maharashtra,0,0,2
10-03-2020,Maharashtra,0,0,5
11-03-2020,Maharashtra,0,0,2
12-03-2020,Maharashtra,0,0,11
13-03-2020,Maharashtra,0,0,14
14-03-2020,Maharashtra,0,0,14
15-03-2020,Maharashtra,0,0,32
16-03-2020,Maharashtra,0,0,32
17-03-2020,Maharashtra,0,1,39
18-03-2020,Maharashtra,0,1,42
19-03-2020,Maharashtra,0,1,47
20-03-2020,Maharashtra,0,1,52
21-03-2020,Maharashtra,0,1,63
22-03-2020,Maharashtra,0,2,67
23-03-2020,Maharashtra,0,2,74
24-03-2020,Maharashtra,0,2,89
25-03-2020,Maharashtra,1,3,128
26-03-2020,Maharashtra,1,3,124
27-03-2020,Maharashtra,15,4,130
28-03-2020,Maharashtra,25,5,180
29-03-2020,Maharashtra,25,6,186
30-03-2020,Maharashtra,25,8,198
31-03-2020,Maharashtra,39,9,216
01-04-2020,Maharashtra,39,9,302
02-04-2020,Maharashtra,42,13,335
03-04-2020,Maharashtra,42,16,335
04-04-2020,Maharashtra,42,24,490
05-04-2020,Maharashtra,42,24,490
06-04-2020,Maharashtra,56,45,748
07-04-2020,Maharashtra,56,48,868
08-04-2020,Maharashtra,79,64,1018
09-04-2020,Maharashtra,117,72,1135
10-04-2020,Maharashtra,125,97,1364
11-04-2020,Maharashtra,188,110,1574
12-04-2020,Maharashtra,208,127,1761
13-04-2020,Maharashtra,217,149,1985
14-04-2020,Maharashtra,229,160,2337
15-04-2020,Maharashtra,259,178,2687
16-04-2020,Maharashtra,295,187,2919
17-04-2020,Maharashtra,300,194,3205
18-04-2020,Maharashtra,331,201,3323
19-04-2020,Maharashtra,365,211,3651
20-04-2020,Maharashtra,507,223,4203
21-04-2020,Maharashtra,572,232,4669
22-04-2020,Maharashtra,722,251,5221
23-04-2020,Maharashtra,789,269,5652
24-04-2020,Maharashtra,840,283,6430
25-04-2020,Maharashtra,957,301,6817
26-04-2020,Maharashtra,1076,323,7628
27-04-2020,Maharashtra,1188,342,8068
28-04-2020,Maharashtra,1282,369,8590
29-04-2020,Maharashtra,1388,400,9318
30-04-2020,Maharashtra,1593,432,9915
01-05-2020,Maharashtra,1773,459,10498
02-05-2020,Maharashtra,1879,485,11506
03-05-2020,Maharashtra,2000,521,12296
04-05-2020,Maharashtra,2115,548,12974
05-05-2020,Maharashtra,2465,583,14541
06-05-2020,Maharashtra,2819,617,15525
07-05-2020,Maharashtra,3094,651,16758
08-05-2020,Maharashtra,3301,694,17974
09-05-2020,Maharashtra,3470,731,19063
10-05-2020,Maharashtra,3800,779,20228
11-05-2020,Maharashtra,4199,832,22171
12-05-2020,Maharashtra,4786,868,23401
13-05-2020,Maharashtra,5125,921,24427
14-05-2020,Maharashtra,5547,975,25922
15-05-2020,Maharashtra,6059,1019,27524
16-05-2020,Maharashtra,6564,1068,29100
17-05-2020,Maharashtra,7088,1135,30706
18-05-2020,Maharashtra,7688,1198,33053
19-05-2020,Maharashtra,8437,1249,35058
20-05-2020,Maharashtra,9639,1325,37136
21-05-2020,Maharashtra,10318,1390,39297
22-05-2020,Maharashtra,11726,1454,41642
23-05-2020,Maharashtra,12583,1517,44582
