07-03-2020,Ladakh,0,0,2
08-03-2020,Ladakh,0,0,2
09-03-2020,Ladakh,0,0,2
10-03-2020,Ladakh,0,0,2
11-03-2020,Ladakh,0,0,2
12-03-2020,Ladakh,0,0,3
13-03-2020,Ladakh,0,0,3
14-03-2020,Ladakh,0,0,3
15-03-2020,Ladakh,0,0,3
16-03-2020,Ladakh,0,0,4
17-03-2020,Ladakh,0,0,6
18-03-2020,Ladakh,0,0,8
19-03-2020,Ladakh,0,0,8
20-03-2020,Ladakh,0,0,10
21-03-2020,Ladakh,0,0,13
22-03-2020,Ladakh,0,0,13
23-03-2020,Ladakh,0,0,13
24-03-2020,Ladakh,0,0,13
25-03-2020,Ladakh,0,0,13
26-03-2020,Ladakh,0,0,13
27-03-2020,Ladakh,3,0,13
28-03-2020,Ladakh,3,0,13
29-03-2020,Ladakh,3,0,13
30-03-2020,Ladakh,3,0,13
31-03-2020,Ladakh,3,0,13
01-04-2020,Ladakh,3,0,13
02-04-2020,Ladakh,3,0,13
03-04-2020,Ladakh,3,0,14
04-04-2020,Ladakh,3,0,14
05-04-2020,Ladakh,10,0,14
06-04-2020,Ladakh,10,0,14
07-04-2020,Ladakh,10,0,14
08-04-2020,Ladakh,10,0,14
09-04-2020,Ladakh,10,0,14
10-04-2020,Ladakh,10,0,15
11-04-2020,Ladakh,10,0,15
12-04-2020,Ladakh,10,0,15
13-04-2020,Ladakh,10,0,15
14-04-2020,Ladakh,10,0,15
15-04-2020,Ladakh,10,0,17
16-04-2020,Ladakh,10,0,17
17-04-2020,Ladakh,14,0,18
18-04-2020,Ladakh,14,0,18
19-04-2020,Ladakh,14,0,18
20-04-2020,Ladakh,14,0,18
21-04-2020,Ladakh,14,0,18
22-04-2020,Ladakh,14,0,18
23-04-2020,Ladakh,14,0,18
24-04-2020,Ladakh,14,0,18
25-04-2020,Ladakh,14,0,20
26-04-2020,Ladakh,14,0,20
27-04-2020,Ladakh,14,0,20
28-04-2020,Ladakh,16,0,22
29-04-2020,Ladakh,16,0,22
30-04-2020,Ladakh,16,0,22
01-05-2020,Ladakh,16,0,22
02-05-2020,Ladakh,17,0,22
03-05-2020,Ladakh,17,0,40
04-05-2020,Ladakh,17,0,41
05-05-2020,Ladakh,17,0,41
06-05-2020,Ladakh,17,0,41
07-05-2020,Ladakh,17,0,41
08-05-2020,Ladakh,17,0,42
09-05-2020,Ladakh,17,0,42
10-05-2020,Ladakh,17,0,42
11-05-2020,Ladakh,21,0,42
12-05-2020,Ladakh,21,0,42
13-05-2020,Ladakh,21,0,42
14-05-2020,Ladakh,22,0,43
15-05-2020,Ladakh,22,0,43
16-05-2020,Ladakh,22,0,43
17-05-2020,Ladakh,22,0,43
18-05-2020,Ladakh,24,0,43
19-05-2020,Ladakh,41,0,43
20-05-2020,Ladakh,43,0,43
21-05-2020,Ladakh,43,0,44
22-05-2020,Ladakh,43,0,44
23-05-2020,Ladakh,43,0,44
24-05-2020,Ladakh,43,0,49
25-05-2020,Ladakh,43,0,52
26-05-2020,Ladakh,43,0,52
